SAS File,Datatel Table,Datatel Field,Download Field Name,Field Type,Field Start Position,Field End Position,Length,SAS Format,Multi-Value,SAS Variable Name,Old SAS Variable Name
Class01,COURSE.SEC.MEETING,SEC.TERM,Term,Character,1,35,35,$7.,No,ADCClsTerm,ADCTerm
Class01,COURSE.SEC.MEETING,SEC.SUBJECT,Subject,Character,36,75,40,$4.,No,ADCClsPrefix,
Class01,COURSE.SEC.MEETING,SEC.COURSE.NO,Course Number,Character,76,88,13,$6.,No,ADCClsNumber,
Class01,COURSE.SEC.MEETING,SEC.NO,Section,Character,89,95,7,$6.,No,ADCClsSection,
Class01,COURSE.SEC.MEETING,COURSE.SEC.MEETING.ADDDATE,Added On,Character,96,103,8,$8.,No,ADCClsSecMeetAddOn,
Class01,COURSE.SEC.MEETING,COURSE.SEC.MEETING.ADDOPR,Added By,Character,104,111,8,$8.,No,ADCClsSecMeetAddBy,
Class01,COURSE.SEC.MEETING,COURSE.SEC.MEETING.CHGDATE,Changed On,Character,112,121,10,$8.,No,ADCClsSecMeetChgOn,
Class01,COURSE.SEC.MEETING,COURSE.SEC.MEETING.CHGOPR,Changed by,Character,122,131,10,$8.,No,ADCClsSecMeetChgBy,
Class01,COURSE.SEC.MEETING,CSM.START.DATE,Start Date,Character,132,141,10,$8.,No,ADCClsStartDate,
Class01,COURSE.SEC.MEETING,CSM.END.DATE,End Date,Character,142,149,8,$8.,No,ADCClsEndDate,
Class01,COURSE.SEC.MEETING,CSM.DAYS,Days,Character,150,164,15,$8.,Yes,ADCClsMeetDays,
Class01,COURSE.SEC.MEETING,CSM.START.TIME,Start Time,Character,165,174,10,$8.,No,ADCClsStartTime,
Class01,COURSE.SEC.MEETING,CSM.END.TIME,End Time,Character,175,182,8,$8.,No,ADCClsEndTime,
Class01,COURSE.SEC.MEETING,SEC.LOCATION,Location,Character,183,217,35,$8.,No,ADCClsCampus,
Class01,COURSE.SEC.MEETING,CSM.BLDG,Bldg,Character,218,252,35,$8.,No,ADCClsBldg,
Class01,COURSE.SEC.MEETING,CSM.ROOM,Room,Character,253,287,35,$8.,No,ADCClsRoom,
Class01,COURSE.SEC.MEETING,CSM.INSTR.METHOD,Instr Method,Character,288,322,35,$8.,No,ADCClsIType,
Class01,COURSE.SEC.MEETING,CSM.COURSE.SECTION,,Character,,,,$7.,No,ADCClsID,
Class01,COURSE.SEC.MEETING,SEC.TERM,Term,Character,,,,$8.,No,ADCClsTerm,DUPLICATE NOT USED
Class01,COURSE.SEC.MEETING,CREATED,Created,Character,,,11,$15.,,Class,
Class01,COURSE.SEC.MEETING,CREATED,Created,Character,,,8,$8.,,Course,
Class02,COURSE.SECTIONS,SEC.TERM,Term,Character,1,35,35,$7.,No,ADCClsTerm,
Class02,COURSE.SECTIONS,SEC.SUBJECT,Subject,Character,36,75,40,$4.,No,ADCClsPrefix,
Class02,COURSE.SECTIONS,SEC.COURSE.NO,Course Number,Character,76,88,13,$6.,No,ADCClsNumber,
Class02,COURSE.SECTIONS,SEC.NO,Section,Character,89,95,7,$6.,No,ADCClsSection,
Class02,COURSE.SECTIONS,SEC.SHORT.TITLE,Short Title,Character,96,125,30,$30.,No,ADCClsShortTitle,
Class02,COURSE.SECTIONS,SEC.DEPTS,Depts,Character,126,165,40,$8.,Yes/No,ADCClsDepts,
Class02,COURSE.SECTIONS,SEC.ACAD.LEVEL,Acad Level,Character,166,200,35,$4.,No,ADCClsAcadLevel,
Class02,COURSE.SECTIONS,SEC.COURSE.LEVELS,Course Level,Character,201,230,30,$8.,Yes,ADCClsCourseLevel,
Class02,COURSE.SECTIONS,SEC.FUNDING.SOURCES,Funding Sources,Character,231,260,30,$30.,Yes/No,ADCClsFundSources,
Class02,COURSE.SECTIONS,COURSE.SECTIONS.ADDDATE,Added On,Character,261,268,8,$8.,No,ADCClsCsSecAddOn,
Class02,COURSE.SECTIONS,COURSE.SECTIONS.ADDOPR,Added By,Character,269,276,8,$8.,No,ADCClsCsSecAddBy,
Class02,COURSE.SECTIONS,COURSE.SECTIONS.CHGDATE,Changed On,Character,277,286,10,$8.,No,ADCClsCsSecChgOn,
Class02,COURSE.SECTIONS,COURSE.SECTIONS.CHGOPR,Changed By,Character,287,296,10,$8.,No,ADCClsCsSecChgBy,
Class02,COURSE.SECTIONS,SEC.CENSUS.DATES,Census Dates,Character,297,308,12,$8.,Yes/No,ADCClsCensusDates,
Class02,COURSE.SECTIONS,SEC.CONTACT.MEASURES,Contact Measure,Character,309,338,30,$30.,Yes/No,ADCClsContactMeasures,
Class02,COURSE.SECTIONS,SEC.CONTACT.HOURS,Contact Hours,Numeric,339,351,13,10.2,Yes/No,ADCClsContactHrs,
Class02,COURSE.SECTIONS,SEC.MIN.CRED,Min Cred,Numeric,352,359,8,8.2,No,ADCClsCUCredits,
Class02,COURSE.SECTIONS,SEC.CEUS,CEUs,Numeric,360,365,6,6.2,No,ADCClsCEUnits,
Class02,COURSE.SECTIONS,SEC.CAPACITY,Capacity,Numeric,366,373,8,COMMA8.,No,ADCClsCapacity,
Class02,COURSE.SECTIONS,SEC.ACTIVE.STUDENT.COUNT,Active Student Count,Numeric,374,380,7,COMMA7.,Yes/No,ADCClsActiveStuCt,
Class02,COURSE.SECTIONS,SEC.COURSE.TYPES,Course Types,Character,381,410,30,$8.,Yes,ADCClsCourseTypes,
Class02,COURSE.SECTIONS,SEC.CRED.TYPE,Cred Type,Character,411,445,35,$8.,No,ADCClsCredType,
Class02,COURSE.SECTIONS,SEC.CURRENT.STATUS,Current Status,Character,446,459,14,$3.,Yes/No,ADCClsCurrentStatus,
Class02,COURSE.SECTIONS,SEC.FULL.FACULTY,Full Faculty,Character,460,471,12,$8.,Yes,ADCClsFacultyIDs,
Class02,COURSE.SECTIONS,SEC.LOCAL.GOVT.CODES,Local IDs,Character,472,486,15,$10.,Yes/No,ADCClsLocalIDs,
Class02,COURSE.SECTIONS,SEC.SYNONYM,Synonym,Character,487,497,11,$7.,No,ADCClsSynonym,
Class02,COURSE.SECTIONS,SEC.USER1,SEC.USER1,Character,498,517,20,$8.,No,ADCClsIMethod,
Class02,COURSE.SECTIONS,XSEC.FTE,Total FTE,Numeric,518,526,9,COMMA9.2,No,ADCClsTotalFTE,
Class02,COURSE.SECTIONS,XSEC.FTE.CONTACT,FTE Contact,Numeric,527,537,11,COMMA9.2,No,ADCClsFTEContactHrs,
Class02,COURSE.SECTIONS,XSEC.FTE.COUNT,FTE Count,Numeric,538,546,9,9.2,No,ADCClsFTEStuCt,
Class02,COURSE.SECTIONS,SEC.FUNDING.ACCTG.METHOD,Acctg Method,Character,547,576,30,$1.,No,ADCClsAcctMethod,
Class02,COURSE.SECTIONS,SEC.FACULTY.LAST.NAME,SEC.FACULTY.LAST.NAME,Character,577,633,57,$20.,No,ADCClsPriFacLName,
Class02,COURSE.SECTIONS,SEC.FACULTY.FIRST.NAME,SEC.FACULTY.FIRST.NAME,Character,634,663,30,$20.,No,ADCClsPriFacFName,
Class02,COURSE.SECTIONS,SEC.FACULTY.MIDDLE.NAME,SEC.FACULTY.MIDDLE.NAME,Character,664,693,30,$1.,No,ADCClsPriFacMName,
Class02,COURSE.SECTIONS,SEC.ALL.FACULTY.LAST.NAMES,SEC.ALL.FACULTY.LAST.NAMES,Character,694,750,57,$20.,Yes,ADCClsAllFacLName,
Class02,COURSE.SECTIONS,COURSE.SECTIONS.ID,Section,Character,751,771,21,$7.,No,ADCClsID,
Class02,COURSE.SECTIONS,SEC.TERM,Term,Character,772,806,35,$8.,No,ADCClsTerm,DUPLICATE NOT USED
Class02,COURSE.SECTIONS,CREATED,Created,Character,,,,$15.,No,Class,
Class02,COURSE.SECTIONS,CALCULATED,Calculated,Numeric,,,,8.,No,ClsAvailSeats,
Class02,COURSE.SECTIONS,CREATED,Created,Character,,,,$40.,No,ClsPriFacLFMName,
Class02,COURSE.SECTIONS,CREATED,Created,Character,,,,$10.,No,DataPoint,