SAS File,Datatel Table,Datatel Field,Download Field Name,Field Type,Field Start Position,Field End Position,Length,SAS Format,Multi-Value,SAS Variable Name,,,,,
Student03,XNC.PERSON,XNC.PERSON.ID,XNC.PERSON.ID,Character,1,13,13,$10.,No,ADCPersonID,,@,1,ADCPersonID,$10.
Student03,XNC.PERSON,XNC.INMATE.FLAG,XNC.INMATE.FLAG,Character,14,28,15,$3.,No,ADCStuInmateFlag,,@,14,ADCStuInmateFlag,$3.
Student03,XNC.PERSON,XNC.ECON.DISADVANTAGED.FLAG,XNC.ECON.DISADVANTAGED.FLAG,Character,29,55,27,$3.,No,ADCStuEconDisAdvFlag,,@,29,ADCStuEconDisAdvFlag,$3.
Student03,XNC.PERSON,XNC.SINGLE.PARENT.FLAG,XNC.SINGLE.PARENT.FLAG,Character,56,77,22,$3.,No,ADCStuSingleParentFlag,,@,56,ADCStuSingleParentFlag,$3.
Student03,XNC.PERSON,XNC.HEAD.HOUSEHOLD.FLAG,XNC.HEAD.HOUSEHOLD.FLAG,Character,78,100,23,$3.,No,ADCStuHeadHouseholdFlag,,@,78,ADCStuHeadHouseholdFlag,$3.
Student03,XNC.PERSON,XNC.LIMITED.ENGLISH.FLAG,XNC.LIMITED.ENGLISH.FLAG,Character,101,124,24,$3.,No,ADCStuLimitEnglishFlag,,@,101,ADCStuLimitEnglishFlag,$3.
Student03,XNC.PERSON,XNC.HIGH.SCHOOL.TRACK,XNC.HIGH.SCHOOL.TRACK,Character,125,154,30,$4.,No,ADCStuHighSchoolTrack,,@,125,ADCStuHighSchoolTrack,$4.
Student03,XNC.PERSON,XNC.EDU.ENTRY.LEVEL,XNC.EDU.ENTRY.LEVEL,Character,155,173,19,$3.,No,ADCStuEduEntryLvl,,@,155,ADCStuEduEntryLvl,$3.
Student03,XNC.PERSON,XNC.EDUCATIONAL.LEVEL,XNC.EDUCATIONAL.LEVEL,Character,174,203,30,$3.,No,ADCStuEduLvl,,@,174,ADCStuEduLvl,$3.
Student03,XNC.PERSON,XNC.FATHER.DEGREE.FLAG,XNC.FATHER.DEGREE.FLAG,Character,204,225,22,$3.,No,ADCStuFtrDegLvl,,@,204,ADCStuFtrDegLvl,$3.
Student03,XNC.PERSON,XNC.MOTHER.DEGREE.FLAG,XNC.MOTHER.DEGREE.FLAG,Character,226,247,22,$3.,No,ADCStuMtrDegLvl,,@,226,ADCStuMtrDegLvl,$3.
Student03,XNC.PERSON,XNC.PERSON.ID,XNC.PERSON.ID,Character,248,260,13,$10.,No,ADCPersonID,,@,248,ADCPersonID,$10.